,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,24,STL,37,32,22,7,4,79,909,830,.913,2.28,4,5.3,2077,17,.531,6,102,-1.41,0,2,2,2
2,Frederik Andersen\anderfr01,25,ANA,54,53,35,12,5,123,1436,1313,.914,2.38,3,8.6,3106,32,.604,9,100,-0.43,0,3,3,4
3,Craig Anderson\andercr01,33,OTT,35,35,14,13,8,87,1134,1047,.923,2.49,3,8.0,2093,17,.486,2,90,9.79,0,0,0,4
4,Richard Bachman\bachmri01,27,EDM,6,4,3,2,0,15,168,153,.911,2.84,1,0.9,317,3,.750,1,,,0,0,0,0
5,Niklas Backstrom\backsni01,36,MIN,19,14,5,7,3,51,452,401,.887,3.05,0,1.2,1005,2,.143,4,132,-12.42,0,0,0,2
6,Jonathan Bernier\bernijo01,26,TOR,58,55,21,28,7,152,1735,1583,.912,2.87,2,10.0,3177,26,.473,11,103,-3.91,0,1,1,0
7,Reto Berra\berrare01,28,COL,19,12,5,4,1,33,403,370,.918,2.65,1,2.6,746,5,.417,2,96,1.40,0,0,0,0
8,Ben Bishop\bishobe01,28,TBL,62,59,40,13,5,136,1620,1484,.916,2.32,4,10.0,3519,33,.559,8,98,2.27,0,4,4,4
9,Sergei Bobrovsky\bobrose01,26,CBJ,51,49,30,17,3,134,1632,1498,.918,2.68,2,10.4,2994,26,.531,3,96,5.30,0,2,2,4
10,Martin Brodeur*\brodema01,42,STL,7,5,3,3,0,17,169,152,.899,2.87,1,0.7,356,2,.400,2,,,0,0,0,0
11,Laurent Brossoit\brossla01,21,EDM,1,1,0,1,0,2,51,49,.961,2.01,0,0.6,60,1,1.000,0,,,0,0,0,0
12,Ilya Bryzgalov\bryzgil01,34,ANA,8,6,1,4,1,23,150,127,.847,4.19,0,-0.3,329,2,.333,3,,,0,2,2,0
13,Tyler Bunz\bunzty01,22,EDM,1,0,0,0,0,3,12,9,.750,9.00,0,-0.2,20,0,,0,,,0,0,0,0
14,Scott Clemmensen\clemmsc01,37,NJD,3,1,0,0,1,8,54,46,.852,4.73,0,-0.1,102,0,.000,0,,,0,0,0,0
15,Corey Crawford\crawfco01,30,CHI,57,57,32,20,5,126,1661,1535,.924,2.27,2,11.9,3333,38,.667,4,89,15.77,0,1,1,8
16,John Curry\curryjo01,30,MIN,2,1,0,0,1,5,25,20,.800,4.18,0,-0.2,72,0,.000,1,,,0,0,0,0
17,Scott Darling\darlisc01,26,CHI,14,13,9,4,0,27,419,392,.936,1.95,1,3.6,833,10,.769,0,75,8.76,0,0,0,0
18,Louis Domingue\dominlo01,22,ARI,7,4,1,2,1,14,158,144,.911,2.73,0,0.9,308,3,.750,0,,,0,0,0,0
19,Chris Driedger\driedch01,20,OTT,1,0,0,0,0,0,10,10,1.000,0.00,0,0.2,23,0,,0,,,0,0,0,0
20,Devan Dubnyk\dubnyde01,28,TOT,58,55,36,14,4,115,1625,1510,.929,2.07,6,12.6,3328,36,.655,4,83,23.70,0,2,2,2
20,Devan Dubnyk\dubnyde01,28,MIN,39,39,27,9,2,68,1064,996,.936,1.78,5,9.1,2293,28,.718,2,75,22.82,0,2,2,2
20,Devan Dubnyk\dubnyde01,28,ARI,19,16,9,5,2,47,561,514,.916,2.72,1,3.5,1035,8,.500,2,98,0.88,0,0,0,0
21,Brian Elliott\elliobr01,29,STL,46,45,26,14,3,96,1150,1054,.917,2.26,5,7.2,2546,27,.600,8,98,2.16,0,3,3,0
22,Dan Ellis\ellisda01,34,FLA,8,8,4,3,1,19,221,202,.914,2.34,1,1.3,486,4,.500,0,,,0,0,0,0
23,Ray Emery\emeryra01,32,PHI,31,25,10,11,7,80,758,678,.894,3.06,0,2.7,1570,13,.520,6,124,-15.30,0,0,0,4
24,Jhonas Enroth\enrotjh01,26,TOT,50,44,18,26,2,145,1504,1359,.904,3.07,2,7.0,2834,20,.455,7,113,-16.63,0,0,0,0
24,Jhonas Enroth\enrotjh01,26,BUF,37,35,13,21,2,120,1237,1117,.903,3.27,1,5.7,2204,16,.457,6,114,-14.42,0,0,0,0
24,Jhonas Enroth\enrotjh01,26,DAL,13,9,5,5,0,25,267,242,.906,2.38,1,1.3,630,4,.444,1,,,0,0,0,0
25,Viktor Fasth\fasthvi01,32,EDM,26,24,6,15,3,76,681,605,.888,3.41,0,1.9,1336,9,.375,9,131,-17.87,0,0,0,0
26,Marc-Andre Fleury\fleurma01,30,PIT,64,64,34,20,9,146,1831,1685,.920,2.32,10,12.2,3776,35,.547,6,93,10.28,0,1,1,6
27,Anton Forsberg\forsban01,22,CBJ,5,5,0,4,0,20,149,129,.866,4.69,0,0.0,256,0,.000,1,,,0,0,0,0
28,John Gibson\gibsojo02,21,ANA,23,21,13,8,0,58,674,616,.914,2.60,1,4.0,1340,13,.619,4,101,-0.47,0,0,0,0
29,Thomas Greiss\greisth01,29,PIT,20,18,9,6,3,50,546,496,.908,2.59,0,2.9,1159,8,.444,2,107,-3.40,0,0,0,0
30,Troy Grosenick\grosetr01,25,SJS,2,2,1,1,0,3,58,55,.948,1.52,1,0.6,118,1,.500,1,,,0,0,0,0
31,Philipp Grubauer\grubaph01,23,WSH,1,1,1,0,0,2,25,23,.920,1.85,0,0.2,65,1,1.000,0,,,0,0,0,0
32,Jonas Gustavsson\gustajo01,30,DET,7,6,3,3,1,15,168,153,.911,2.56,1,0.9,351,3,.500,2,,,0,0,0,2
33,Matt Hackett\hackema01,24,BUF,5,4,0,4,1,18,155,137,.884,4.32,0,0.4,250,1,.250,1,,,0,0,0,0
