,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Sami Aittokallio\aittosa01,20,COL,1,1,0,0,0,2,25,23,.920,2.43,0,0.2,49,1,1.000,0,,,0,0,0,0
2,Jake Allen\allenja01,22,STL,15,13,9,4,0,33,346,313,.905,2.46,1,1.8,804,6,.462,4,108,-2.53,0,0,0,0
3,Craig Anderson\andercr01,31,OTT,24,24,12,9,2,40,677,637,.941,1.69,3,6.5,1421,17,.708,1,67,19.63,0,0,0,0
4,Richard Bachman\bachmri01,25,DAL,13,8,6,5,0,33,288,255,.885,3.25,0,0.9,609,4,.500,3,130,-7.63,0,0,0,0
5,Niklas Backstrom\backsni01,34,MIN,42,41,24,15,3,98,1072,974,.909,2.48,2,6.2,2368,18,.439,8,104,-3.58,0,0,0,2
6,Jonathan Bernier\bernijo01,24,LAK,14,12,9,3,1,24,306,282,.922,1.87,1,2.2,768,8,.667,1,89,2.95,0,1,1,0
7,Martin Biron\bironma01,35,NYR,6,5,2,2,1,13,156,143,.917,2.32,0,1.0,336,2,.400,1,,,0,0,0,0
8,Ben Bishop\bishobe01,26,TOT,22,21,11,9,1,56,701,645,.920,2.67,2,5.0,1260,14,.667,3,91,5.74,0,0,0,2
8,Ben Bishop\bishobe01,26,OTT,13,12,8,5,0,31,399,368,.922,2.45,1,3.0,758,8,.667,3,88,4.14,0,0,0,0
8,Ben Bishop\bishobe01,26,TBL,9,9,3,4,1,25,302,277,.917,2.99,1,2.0,502,6,.667,0,94,1.60,0,0,0,2
9,Sergei Bobrovsky\bobrose01,24,CBJ,38,37,21,11,6,74,1084,1010,.932,2.00,4,9.2,2219,26,.703,4,78,21.48,0,0,0,0
10,Brian Boucher\bouchbr01,36,PHI,4,1,0,2,0,6,55,49,.891,2.50,0,0.2,144,0,.000,0,,,0,0,0,0
11,Martin Brodeur*\brodema01,40,NJD,29,29,13,9,7,65,654,589,.901,2.22,2,3.1,1757,15,.517,6,113,-7.40,1,2,3,0
12,Ilya Bryzgalov\bryzgil01,32,PHI,40,40,19,17,3,107,1066,959,.900,2.79,1,5.0,2298,20,.500,10,114,-13.11,0,3,3,0
13,Peter Budaj\budajpe01,30,MTL,13,10,8,1,1,25,273,248,.908,2.28,1,1.6,656,6,.600,2,104,-0.95,0,0,0,0
14,Scott Clemmensen\clemmsc01,35,FLA,19,11,3,7,2,53,421,368,.874,3.67,0,0.7,866,3,.273,4,143,-15.92,0,0,0,0
15,Corey Crawford\crawfco01,28,CHI,30,28,19,5,5,57,769,712,.926,1.94,3,6.0,1761,19,.679,1,84,10.73,0,0,0,4
16,Yann Danis\danisya01,31,EDM,3,0,1,0,0,7,59,52,.881,3.81,0,0.1,110,0,,0,,,0,0,0,0
17,Cedrick Desjardins\desjace01,27,TBL,3,2,0,3,0,8,73,65,.890,3.00,0,0.3,160,0,.000,0,,,0,0,0,0
18,Rick DiPietro\dipieri01,31,NYI,3,3,0,3,0,12,83,71,.855,4.10,0,-0.1,176,0,.000,1,,,0,0,0,0
19,Devan Dubnyk\dubnyde01,26,EDM,38,37,14,16,6,90,1132,1042,.920,2.57,2,8.1,2101,20,.541,5,90,9.70,0,0,0,0
20,Brian Elliott\elliobr01,27,STL,24,20,14,8,1,49,526,477,.907,2.28,3,2.9,1292,12,.600,6,106,-2.67,0,0,0,0
21,Dan Ellis\ellisda01,32,CAR,19,16,6,8,2,52,555,503,.906,3.13,1,3.0,997,8,.500,4,106,-3.12,0,2,2,0
22,Ray Emery\emeryra01,30,CHI,21,19,17,1,0,36,460,424,.922,1.94,3,3.4,1116,12,.632,1,89,4.52,0,0,0,0
23,Jhonas Enroth\enrotjh01,24,BUF,12,9,4,4,1,27,332,305,.919,2.60,1,2.3,623,7,.778,1,92,2.24,0,0,0,0
24,Viktor Fasth\fasthvi01,30,ANA,25,23,15,6,2,52,661,609,.921,2.18,4,4.8,1428,14,.609,3,89,6.22,0,0,0,0
25,Marc-Andre Fleury\fleurma01,28,PIT,33,31,23,8,0,74,881,807,.916,2.39,1,5.9,1858,15,.484,5,95,3.60,0,2,2,2
26,Jeff Frazee\frazeje01,25,NJD,1,0,0,0,0,0,3,3,1.000,0.00,0,0.1,19,0,,0,,,0,0,0,0
27,Mathieu Garon\garonma01,35,TBL,18,16,5,9,2,44,427,383,.897,2.90,0,1.9,910,6,.375,4,117,-6.39,0,0,0,0
28,Jean-Sebastien Giguere\gigueje01,35,COL,18,14,5,4,4,43,469,426,.908,2.84,0,2.7,908,4,.286,1,104,-1.69,0,0,0,4
29,Thomas Greiss\greisth01,27,SJS,6,5,1,4,0,13,153,140,.915,2.53,1,1.0,308,3,.600,1,,,0,0,0,0
30,Philipp Grubauer\grubaph01,21,WSH,2,1,0,1,0,5,59,54,.915,3.57,0,0.4,84,0,.000,0,,,0,0,0,0
31,Jonas Gustavsson\gustajo01,28,DET,7,4,2,2,1,17,140,123,.879,2.92,0,0.3,349,2,.500,1,,,0,1,1,2
32,Matt Hackett\hackema01,22,MIN,1,1,0,1,0,5,33,28,.848,5.07,0,0.0,59,0,.000,1,,,0,0,0,0
33,Jaroslav Halak\halakja01,27,STL,16,15,6,5,1,29,286,257,.899,2.14,3,1.3,813,7,.467,4,115,-3.81,0,1,1,0
34,Josh Harding\hardijo01,28,MIN,5,3,1,1,0,10,73,63,.863,3.24,1,0.0,185,1,.333,2,,,0,0,0,0
35,Johan Hedberg\hedbejo01,39,NJD,19,19,6,10,3,51,435,384,.883,2.76,1,1.2,1108,9,.474,6,133,-12.69,0,1,1,4
36,Jonas Hiller\hillejo01,30,ANA,26,25,15,6,4,59,675,616,.913,2.36,1,4.2,1498,14,.560,2,99,0.45,0,1,1,2
37,Braden Holtby\holtbbr01,23,WSH,36,35,23,12,1,90,1123,1033,.920,2.58,4,8.0,2089,20,.571,5,91,8.91,0,2,2,2
38,Jimmy Howard\howarja02,28,DET,42,42,21,13,7,87,1129,1042,.923,2.13,5,8.4,2446,26,.619,7,87,12.44,0,1,1,0
39,Carter Hutton\huttoca01,27,CHI,1,1,0,1,0,3,28,25,.893,3.06,0,0.1,59,0,.000,0,,,0,0,0,0
