,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
40,Carter Hutton\huttoca01,30,NSH,17,15,7,5,4,38,464,426,.918,2.33,2,2.9,979,7,.467,1,96,1.51,0,1,1,0
41,Chad Johnson\johnsch02,29,BUF,45,40,22,16,4,102,1270,1168,.920,2.36,1,8.2,2591,23,.575,3,94,6.13,0,2,2,0
42,Martin Jones\jonesma02,26,SJS,65,65,37,23,4,143,1734,1591,.918,2.27,6,10.8,3786,36,.554,9,97,4.64,0,0,0,0
43,Jason Kasdorf\kasdoja01,23,BUF,1,1,0,1,0,4,30,26,.867,4.00,0,0.0,60,0,.000,0,,,0,0,0,0
44,Anton Khudobin\khudoan01,29,ANA,9,7,3,3,0,16,175,159,.909,2.69,1,0.9,356,3,.429,3,,,0,0,0,0
45,Keith Kinkaid\kinkake01,26,NJD,23,20,9,9,1,58,605,547,.904,2.81,2,2.8,1240,10,.500,5,113,-6.49,0,0,0,2
46,Joonas Korpisalo\korpijo01,21,CBJ,31,30,16,11,4,78,969,891,.920,2.60,0,6.3,1803,16,.533,1,95,4.50,0,0,0,2
47,Darcy Kuemper\kuempda01,25,MIN,21,16,6,7,5,43,507,464,.915,2.43,2,3.0,1063,8,.500,2,100,0.17,0,0,0,2
48,Eddie Lack\lacked01,28,CAR,34,31,12,14,6,90,910,820,.901,2.81,2,3.9,1920,14,.452,7,116,-12.52,0,2,2,0
49,Robin Lehner\lehnero01,24,BUF,21,21,5,9,5,48,634,586,.924,2.47,1,4.5,1164,13,.619,3,89,5.98,0,1,1,8
50,Kari Lehtonen\lehtoka01,32,DAL,43,39,25,10,2,105,1121,1016,.906,2.76,2,5.5,2279,20,.513,5,110,-9.56,0,3,3,2
51,Michael Leighton\leighmi01,34,CHI,1,0,0,0,0,1,17,16,.941,1.52,0,0.2,39,0,,0,,,0,0,0,0
52,Anders Lindback\lindban01,27,ARI,19,13,5,7,1,47,443,396,.894,3.11,0,1.5,906,5,.385,4,125,-9.28,0,1,1,0
53,Charlie Lindgren\lindgch01,22,MTL,1,1,1,0,0,2,28,26,.929,2.00,0,0.2,60,1,1.000,0,,,0,0,0,0
54,Henrik Lundqvist\lundqhe01,33,NYR,65,64,35,21,7,156,1944,1788,.920,2.48,4,12.6,3772,39,.609,6,94,9.52,0,4,4,4
55,Roberto Luongo\luongro01,36,FLA,62,60,35,19,6,141,1801,1660,.922,2.35,4,12.1,3602,34,.567,8,92,12.34,0,2,2,4
56,Jacob Markstrom\marksja02,26,VAN,33,30,13,14,4,84,988,904,.915,2.73,0,5.9,1847,17,.567,4,100,0.12,0,2,2,4
57,Steve Mason\masonst01,27,PHI,54,53,23,19,10,132,1602,1470,.918,2.51,4,10.0,3150,28,.528,5,97,4.40,0,0,0,2
58,Curtis McElhinney\mcelhcu01,32,CBJ,18,12,2,7,3,46,417,371,.890,3.30,0,1.2,835,3,.250,3,130,-10.50,0,1,1,0
59,Ryan Miller\millery01,35,VAN,51,51,17,24,9,137,1634,1497,.916,2.70,1,9.9,3043,25,.490,2,98,2.12,0,1,1,2
60,Al Montoya\montoal01,30,FLA,25,22,12,7,3,49,608,559,.919,2.18,0,3.9,1351,14,.636,3,95,2.77,0,0,0,2
61,Petr Mrazek\mrazepe01,23,DET,54,49,27,16,6,115,1448,1333,.921,2.33,4,9.5,2961,31,.633,5,93,8.29,0,2,2,2
62,Matt Murray\murrama02,21,PIT,13,13,9,2,1,25,355,330,.930,2.00,1,2.7,749,10,.769,0,83,5.23,0,0,0,0
63,Michal Neuvirth\neuvimi01,27,PHI,32,29,18,8,4,69,908,839,.924,2.27,3,6.4,1825,17,.586,3,89,8.31,0,1,1,2
