,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,28,STL,46,45,19,17,8,121,1277,1156,.905,2.83,3,6.5,2568,25,.556,11,105,-5.90,0,0,0,0
2,Frederik Andersen\anderfr01,29,TOR,60,60,36,16,7,162,1958,1796,.917,2.77,1,12.5,3510,38,.633,7,92,14.48,0,1,1,2
3,Craig Anderson\andercr01,37,OTT,50,47,17,27,4,163,1676,1513,.903,3.51,2,8.1,2785,19,.404,8,108,-11.94,0,2,2,0
4,Richard Bachman\bachmri01,31,VAN,1,1,0,1,0,6,29,23,.793,6.00,0,-0.2,60,0,.000,1,,,0,0,0,0
5,Jonathan Bernier\bernijo01,30,DET,35,30,9,18,5,98,1025,927,.904,3.16,1,5.1,1860,13,.433,5,106,-5.61,0,0,0,0
6,Jordan Binnington\binnijo01,25,STL,32,30,24,5,1,59,807,748,.927,1.89,5,6.0,1876,20,.667,1,81,13.74,0,0,0,0
7,Ben Bishop\bishobe01,32,DAL,46,45,27,15,2,87,1323,1236,.934,1.98,7,10.8,2637,31,.689,1,73,32.24,0,2,2,2
8,MacKenzie Blackwood\blackma01,22,NJD,23,21,10,10,0,55,669,614,.918,2.61,2,4.3,1264,14,.667,4,91,5.30,0,0,0,0
9,Sergei Bobrovsky\bobrose01,30,CBJ,62,61,37,24,1,153,1756,1603,.913,2.58,9,10.4,3557,31,.508,13,97,5.27,0,0,0,2
10,Landon Bow\bowla01,23,DAL,2,0,0,0,0,1,19,18,.947,1.03,0,0.2,58,0,,0,,,0,0,0,0
11,Kevin Boyle\boyleke01,26,ANA,5,4,1,3,0,10,139,129,.928,2.17,1,1.0,277,2,.500,0,,,0,0,0,0
12,Laurent Brossoit\brossla01,25,WPG,21,19,13,6,2,49,652,603,.925,2.52,1,4.7,1165,12,.632,2,83,9.77,0,0,0,0
13,Peter Budaj\budajpe01,36,LAK,3,1,0,1,0,6,33,27,.818,5.02,0,-0.1,72,0,.000,1,,,0,0,0,0
14,Jack Campbell\campbja01,27,LAK,31,25,10,14,1,61,845,784,.928,2.30,2,6.3,1593,16,.640,3,80,15.16,0,1,1,0
15,Eric Comrie\comrier01,23,WPG,1,1,0,1,0,5,28,23,.821,5.01,0,-0.1,60,0,.000,1,,,0,0,0,0
16,Mike Condon\condomi01,28,OTT,2,2,0,2,0,8,40,32,.800,6.38,0,-0.2,75,0,.000,2,,,0,0,0,0
17,Pheonix Copley\copleph01,27,WSH,27,24,16,7,3,74,776,702,.905,2.90,1,3.9,1529,14,.583,4,106,-4.06,0,1,1,0
18,Corey Crawford\crawfco01,34,CHI,39,39,14,18,5,108,1176,1068,.908,2.93,2,6.3,2213,17,.436,5,102,-2.00,0,4,4,0
19,Joey Daccord\daccojo01,22,OTT,1,1,0,1,0,5,40,35,.875,5.00,0,0.1,60,0,.000,0,,,0,0,0,0
20,Scott Darling\darlisc01,30,CAR,8,8,2,4,2,27,233,206,.884,3.34,0,0.7,486,2,.250,3,,,0,0,0,0
21,Collin Delia\deliaco01,24,CHI,16,14,6,4,3,50,545,495,.908,3.61,0,2.9,831,6,.429,2,102,-0.88,0,0,0,0
22,Aaron Dell\dellaa01,29,SJS,25,20,10,8,4,70,613,543,.886,3.17,2,1.9,1323,6,.300,6,127,-14.75,0,0,0,0
23,Thatcher Demko\demkoth01,23,VAN,9,8,4,3,1,25,288,263,.913,2.81,0,1.7,534,6,.750,2,,,0,1,1,0
24,Casey DeSmith\desmica01,27,PIT,36,30,15,11,5,89,1060,971,.916,2.75,3,6.6,1944,18,.600,2,93,6.54,0,0,0,2
25,Michael Dipietro\dipiemi01,19,VAN,1,1,0,1,0,7,24,17,.708,7.00,0,-0.4,60,0,.000,1,,,0,0,0,0
26,Louis Domingue\dominlo01,26,TBL,26,26,21,5,0,75,812,737,.908,2.88,0,4.3,1561,14,.538,2,102,-1.81,0,1,1,4
27,Devan Dubnyk\dubnyde01,32,MIN,67,66,31,28,6,163,1877,1714,.913,2.54,2,11.1,3855,38,.576,13,96,6.18,0,2,2,2
28,Brian Elliott\elliobr01,33,PHI,26,23,11,11,1,69,741,672,.907,2.96,1,3.9,1397,12,.522,4,103,-2.21,0,1,1,2
29,Marc-Andre Fleury\fleurma01,34,VEG,61,61,35,21,5,152,1745,1593,.913,2.51,8,10.3,3635,34,.557,7,97,5.28,0,2,2,4
30,Pavel Francouz\francpa01,28,COL,2,0,0,2,0,2,35,33,.943,1.96,0,0.3,61,0,,0,,,0,0,0,0
31,Kaden Fulcher\fulchka01,20,DET,1,0,0,0,0,2,11,9,.818,4.41,0,0.0,27,0,,0,,,0,0,0,0
32,Alexandar Georgiev\georgal01,22,NYR,33,30,14,13,4,91,1057,966,.914,2.91,2,6.3,1874,15,.500,3,96,4.27,0,2,2,2
33,Christopher Gibson\gibsoch01,26,NYI,2,0,0,0,0,1,17,16,.941,1.50,0,0.2,40,0,,0,,,0,0,0,0
34,John Gibson\gibsojo02,25,ANA,58,57,26,22,8,153,1838,1685,.917,2.84,2,11.6,3233,34,.596,8,92,12.66,0,0,0,2
35,Thomas Greiss\greisth01,33,NYI,43,39,23,14,2,87,1185,1098,.927,2.28,5,8.7,2294,25,.641,7,81,19.81,0,1,1,4
36,Philipp Grubauer\grubaph01,27,COL,37,33,18,9,5,89,1071,982,.917,2.64,3,6.8,2021,20,.606,5,92,7.53,0,0,0,0
37,Jaroslav Halak\halakja01,33,BOS,40,37,22,11,4,90,1158,1068,.922,2.34,5,8.0,2308,22,.595,4,86,14.37,0,4,4,0
38,Carter Hart\hartca01,20,PHI,31,30,16,13,1,81,976,895,.917,2.83,0,6.2,1717,14,.467,4,92,6.97,0,0,0,0
39,Connor Hellebuyck\helleco01,25,WPG,63,62,34,23,3,179,2051,1872,.913,2.90,2,12.1,3704,28,.452,6,97,5.86,0,3,3,4
40,Adin Hill\hillad01,22,ARI,13,11,7,5,0,32,322,290,.901,2.76,1,1.5,696,4,.364,1,,,0,0,0,0
41,Marcus Hogberg\hogbema01,24,OTT,4,4,0,2,1,14,121,107,.884,4.09,0,0.3,206,1,.250,1,,,0,0,0,0
42,Braden Holtby\holtbbr01,29,WSH,59,58,32,19,5,160,1795,1635,.911,2.82,3,10.2,3407,33,.569,9,99,1.79,0,2,2,2
43,Jimmy Howard\howarja02,34,DET,55,52,23,22,5,156,1709,1553,.909,3.07,0,9.3,3053,30,.577,6,101,-1.96,0,1,1,2
44,Michael Hutchinson\hutchmi01,28,TOT,9,8,3,4,2,27,239,212,.887,3.27,1,0.8,496,2,.250,2,,,0,0,0,0
44,Michael Hutchinson\hutchmi01,28,TOR,5,5,2,3,0,13,152,139,.914,2.64,1,0.9,295,2,.400,0,,,0,0,0,0
44,Michael Hutchinson\hutchmi01,28,FLA,4,3,1,1,2,14,87,73,.839,4.17,0,-0.2,201,0,.000,2,,,0,0,0,0
45,Carter Hutton\huttoca01,33,BUF,50,48,18,25,5,142,1541,1399,.908,3.00,0,8.3,2840,25,.521,5,102,-3.11,0,1,1,2
46,Tristan Jarry\jarrytr01,23,PIT,2,2,0,1,1,7,62,55,.887,3.50,0,0.2,120,1,.500,1,,,0,0,0,0
47,Chad Johnson\johnsch02,32,TOT,19,11,2,11,0,49,406,357,.879,3.63,1,0.9,811,3,.273,3,134,-12.41,0,0,0,0
47,Chad Johnson\johnsch02,32,STL,10,7,2,6,0,29,250,221,.884,3.55,1,0.7,491,2,.286,2,,,0,0,0,0
47,Chad Johnson\johnsch02,32,ANA,9,4,0,5,0,20,156,136,.872,3.75,0,0.2,320,1,.250,1,,,0,0,0,0
48,Martin Jones\jonesma02,29,SJS,62,62,36,19,5,176,1699,1523,.896,2.94,3,7.0,3597,27,.435,14,115,-22.87,0,1,1,2
49,Anton Khudobin\khudoan01,32,DAL,41,37,16,17,5,95,1232,1137,.923,2.57,2,8.6,2220,23,.622,3,86,16.04,0,0,0,2
50,Keith Kinkaid\kinkake01,29,NJD,41,38,15,18,6,129,1188,1059,.891,3.36,3,4.3,2302,15,.395,11,120,-21.92,0,0,0,0
51,Joonas Korpisalo\korpijo01,24,CBJ,27,21,10,7,3,67,651,584,.897,2.95,0,2.7,1361,8,.381,4,114,-8.32,0,0,0,0
52,Mikko Koskinen\koskimi01,30,EDM,55,51,25,21,6,146,1551,1405,.906,2.93,4,8.0,2992,24,.471,8,104,-6.21,0,2,2,2
53,Darcy Kuemper\kuempda01,28,ARI,55,55,27,20,8,126,1676,1550,.925,2.33,5,12.0,3251,36,.655,6,83,25.06,0,2,2,14
54,Maxime Lagace\lagacma01,26,VEG,1,1,0,1,0,4,31,27,.871,4.03,0,0.0,60,0,.000,0,,,0,0,0,0
55,Robin Lehner\lehnero01,27,NYI,46,43,25,13,5,93,1323,1230,.930,2.13,6,10.2,2616,26,.605,4,78,26.24,0,1,1,0
56,Charlie Lindgren\lindgch01,25,MTL,1,1,1,0,0,5,49,44,.898,4.62,0,0.2,65,0,.000,0,,,0,0,0,0
57,Henrik Lundqvist\lundqhe01,36,NYR,52,52,18,23,10,158,1699,1541,.907,3.07,0,9.0,3089,30,.577,7,103,-4.87,0,3,3,0
58,Roberto Luongo\luongro01,39,FLA,43,40,18,16,5,122,1205,1083,.899,3.12,1,5.3,2347,20,.500,7,112,-13.39,0,1,1,0
59,Alex Lyon\lyonal01,26,PHI,2,1,0,1,0,6,31,25,.806,5.08,0,-0.2,71,0,.000,1,,,0,0,0,0
60,Jacob Markstrom\marksja02,29,VAN,60,60,28,23,9,166,1896,1730,.912,2.77,1,11.1,3599,34,.567,7,97,4.89,0,3,3,2
61,Curtis McElhinney\mcelhcu01,35,CAR,33,33,20,11,2,85,968,883,.912,2.58,2,5.6,1978,17,.515,6,97,2.25,0,0,0,0
62,Mike McKenna\mckenmi01,35,TOT,11,7,1,5,1,34,316,282,.892,3.99,0,1.2,511,3,.429,1,,,0,0,0,0
62,Mike McKenna\mckenmi01,35,OTT,10,6,1,4,1,30,292,262,.897,3.96,0,1.2,454,3,.500,0,,,0,0,0,0
62,Mike McKenna\mckenmi01,35,PHI,1,1,0,1,0,4,24,20,.833,4.22,0,-0.1,57,0,.000,1,,,0,0,0,0
63,Ryan Miller\millery01,38,ANA,20,17,8,7,2,51,578,527,.912,2.76,1,3.3,1109,10,.588,2,98,1.10,0,0,0,0
64,Hunter Miska\miskahu01,23,ARI,1,0,0,0,0,1,9,8,.889,3.28,0,0.0,18,0,,0,,,0,0,0,0
65,Sam Montembeault\montesa01,22,FLA,11,10,4,3,2,30,282,252,.894,3.04,0,1.1,591,5,.500,3,,,0,1,1,0
66,Petr Mrazek\mrazepe01,26,CAR,40,40,23,14,3,95,1104,1009,.914,2.39,4,6.6,2387,23,.575,4,95,4.51,0,1,1,6
67,Matt Murray\murrama02,24,PIT,50,50,29,14,6,129,1594,1465,.919,2.69,4,10.4,2880,29,.580,10,90,14.67,0,0,0,4
68,Alex Nedeljkovic\nedelal01,23,CAR,1,1,1,0,0,2,26,24,.923,2.00,0,0.2,60,1,1.000,0,,,0,0,0,0
69,Michal Neuvirth\neuvimi01,30,PHI,7,6,1,4,1,26,184,158,.859,4.27,0,0.0,366,1,.167,4,,,0,0,0,0
70,Antti Niemi\niemian02,35,MTL,17,17,8,6,2,61,539,478,.887,3.78,0,1.7,969,4,.235,5,126,-12.42,0,1,1,0
71,Anders Nilsson\nilssan01,28,TOT,36,34,14,19,1,101,1098,997,.908,2.97,2,5.9,2040,14,.412,6,102,-2.04,0,1,1,0
71,Anders Nilsson\nilssan01,28,OTT,24,22,11,11,0,64,745,681,.914,2.90,2,4.5,1322,10,.455,4,95,3.15,0,1,1,0
71,Anders Nilsson\nilssan01,28,VAN,12,12,3,8,1,37,353,316,.895,3.09,0,1.4,718,4,.333,2,116,-5.18,0,0,0,0
72,Eddie Pasquale\pasqued01,28,TBL,3,3,2,1,0,12,102,90,.882,3.96,0,0.3,182,1,.333,1,,,0,0,0,0
73,Calvin Petersen\peterca01,24,LAK,11,10,5,4,1,27,355,328,.924,2.61,1,2.5,622,6,.600,1,84,5.00,0,0,0,0
74,Calvin Pickard\pickaca01,26,TOT,17,12,4,6,2,48,384,336,.875,3.86,1,0.7,747,4,.333,4,139,-13.39,0,0,0,2
74,Calvin Pickard\pickaca01,26,PHI,11,8,4,2,2,31,227,196,.863,4.01,1,0.1,464,2,.250,4,,,0,0,0,2
74,Calvin Pickard\pickaca01,26,ARI,6,4,0,4,0,17,157,140,.892,3.61,0,0.6,283,2,.500,0,,,0,0,0,0
75,Carey Price\priceca01,31,MTL,66,64,35,24,6,161,1952,1791,.918,2.49,4,12.5,3880,37,.578,6,92,14.94,0,1,1,2
76,Jonathan Quick\quickjo01,33,LAK,46,46,16,23,7,149,1329,1180,.888,3.38,2,4.3,2648,19,.413,11,124,-29.21,0,2,2,6
77,Antti Raanta\raantan01,29,ARI,12,12,5,6,0,33,351,318,.906,2.88,0,1.8,687,6,.500,1,104,-1.36,0,1,1,0
78,Tuukka Rask\rasktu01,31,BOS,46,45,27,13,5,109,1245,1136,.912,2.48,4,7.3,2635,24,.533,5,97,3.21,0,2,2,4
79,James Reimer\reimeja01,30,FLA,36,29,13,12,5,93,929,836,.900,3.09,0,4.2,1805,10,.345,6,111,-9.27,0,0,0,0
80,Pekka Rinne\rinnepe01,36,NSH,56,55,30,19,4,130,1581,1451,.918,2.42,4,10.1,3220,30,.545,7,91,12.50,0,0,0,4
81,David Rittich\rittida01,26,CGY,45,42,27,9,5,109,1228,1119,.911,2.61,1,7.0,2503,26,.619,8,98,1.68,0,0,0,4
82,Juuse Saros\sarosju01,23,NSH,31,27,17,10,2,74,870,796,.915,2.62,3,5.3,1696,14,.519,6,94,4.41,0,0,0,0
83,Cory Schneider\schneco01,32,NJD,26,23,6,13,4,70,718,648,.903,3.06,1,3.4,1372,10,.435,5,108,-5.29,0,0,0,0
84,Mike Smith\smithmi01,36,CGY,42,40,23,16,2,109,1069,960,.898,2.72,2,4.6,2400,20,.500,9,113,-12.65,0,3,3,2
85,Garret Sparks\sparkga01,25,TOR,20,17,8,9,1,58,592,534,.902,3.15,1,2.8,1105,8,.471,3,109,-4.64,0,0,0,0
86,Alex Stalock\staloal01,31,MIN,21,16,6,8,3,53,525,472,.899,2.99,0,2.3,1065,9,.563,1,112,-5.68,0,2,2,4
87,Anthony Stolarz\stolaan01,25,TOT,18,12,4,5,3,50,503,453,.901,3.45,1,2.3,869,5,.417,2,110,-4.66,0,0,0,0
87,Anthony Stolarz\stolaan01,25,PHI,12,10,4,3,3,35,358,323,.902,3.33,1,1.7,630,4,.400,2,108,-2.73,0,0,0,0
87,Anthony Stolarz\stolaan01,25,EDM,6,2,0,2,0,15,145,130,.897,3.77,0,0.6,239,1,.500,0,,,0,0,0,0
88,Malcolm Subban\subbama01,25,VEG,21,20,8,10,2,60,612,552,.902,2.93,1,2.9,1227,8,.400,3,109,-4.84,0,0,0,4
89,Cam Talbot\talboca01,31,TOT,35,32,11,17,3,108,997,889,.892,3.40,1,3.6,1906,9,.281,10,120,-18.14,0,1,1,0
89,Cam Talbot\talboca01,31,EDM,31,29,10,15,3,95,888,793,.893,3.36,1,3.4,1695,9,.310,9,119,-14.96,0,1,1,0
89,Cam Talbot\talboca01,31,PHI,4,3,1,2,0,13,109,96,.881,3.70,0,0.3,211,0,.000,1,,,0,0,0,0
90,Linus Ullmark\ullmali01,25,BUF,37,34,15,14,5,109,1146,1037,.905,3.11,2,5.8,2102,18,.529,6,106,-5.71,0,1,1,0
91,Semyon Varlamov\varlasi01,30,COL,49,49,20,19,9,136,1496,1360,.909,2.87,2,8.2,2839,25,.510,9,101,-1.16,0,0,0,2
92,Andrei Vasilevskiy\vasilan02,24,TBL,53,53,39,10,4,128,1713,1585,.925,2.40,6,12.4,3204,34,.642,7,83,26.40,0,3,3,6
93,Cam Ward\wardca01,34,CHI,33,29,16,12,4,115,1113,998,.897,3.67,0,4.6,1882,15,.517,5,115,-14.68,0,1,1,4
