,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Sami Aittokallio\aittosa01,21,COL,1,1,0,1,0,3,18,15,.833,4.50,0,-0.1,40,0,.000,1,,,0,0,0,0
2,Frederik Andersen\anderfr01,24,ANA,28,24,20,5,0,60,783,723,.923,2.29,0,5.6,1569,12,.500,0,89,7.47,0,1,1,0
3,Craig Anderson\andercr01,32,OTT,53,52,25,16,8,150,1680,1530,.911,3.00,4,9.5,3000,26,.500,10,104,-5.24,0,1,1,2
4,Richard Bachman\bachmri01,26,EDM,3,3,0,2,1,7,83,76,.916,3.03,0,0.5,139,1,.333,2,,,0,0,0,0
5,Niklas Backstrom\backsni01,35,MIN,21,19,5,11,2,55,546,491,.899,3.02,0,2.3,1094,9,.474,3,117,-7.95,0,0,0,0
6,Jonathan Bernier\bernijo01,25,TOR,55,49,26,19,7,139,1788,1649,.922,2.70,1,12.6,3084,30,.612,5,90,15.07,0,1,1,4
7,Reto Berra\berrare01,27,TOT,31,29,9,18,3,88,820,732,.893,3.07,0,2.9,1720,14,.483,7,125,-17.34,0,0,0,2
7,Reto Berra\berrare01,27,CGY,29,27,9,17,2,81,788,707,.897,2.95,0,3.2,1648,14,.519,5,119,-13.10,0,0,0,2
7,Reto Berra\berrare01,27,COL,2,2,0,1,1,7,32,25,.781,5.85,0,-0.3,72,0,.000,2,,,0,0,0,0
8,Martin Biron\bironma01,36,NYR,2,1,0,1,0,9,38,29,.763,7.65,0,-0.5,71,0,.000,1,,,0,0,0,0
9,Ben Bishop\bishobe01,27,TBL,63,63,37,14,7,133,1758,1625,.924,2.23,5,12.9,3586,38,.603,8,88,18.48,0,2,2,4
10,Sergei Bobrovsky\bobrose01,25,CBJ,58,57,32,20,5,131,1699,1568,.923,2.38,5,12.1,3299,35,.614,5,89,15.40,0,1,1,2
11,Martin Brodeur*\brodema01,41,NJD,39,39,19,14,6,96,971,875,.901,2.51,3,4.4,2297,18,.462,8,115,-12.33,0,3,3,2
12,Ilya Bryzgalov\bryzgil01,33,TOT,32,30,12,9,8,81,891,810,.909,2.68,4,4.9,1814,16,.533,4,106,-4.23,0,0,0,0
12,Ilya Bryzgalov\bryzgil01,33,EDM,20,19,5,8,5,57,622,565,.908,3.01,1,3.4,1135,10,.526,2,106,-3.40,0,0,0,0
12,Ilya Bryzgalov\bryzgil01,33,MIN,12,11,7,1,3,24,269,245,.911,2.12,3,1.5,679,6,.545,2,,,0,0,0,0
13,Peter Budaj\budajpe01,31,MTL,24,21,10,8,3,56,615,559,.909,2.51,1,3.4,1338,9,.429,3,106,-3.01,0,0,0,6
14,Jack Campbell\campbja01,22,DAL,1,1,0,1,0,6,47,41,.872,6.00,0,0.0,60,0,.000,0,,,0,0,0,0
15,Scott Clemmensen\clemmsc01,36,FLA,17,14,6,7,1,47,454,407,.896,3.08,0,1.8,914,6,.429,3,120,-7.88,0,1,1,0
16,Corey Crawford\crawfco01,29,CHI,59,56,32,16,10,128,1533,1405,.917,2.26,2,9.8,3395,31,.554,6,97,4.09,0,1,1,0
17,John Curry\curryjo01,29,MIN,2,1,1,0,0,4,57,53,.930,3.01,0,0.5,80,1,1.000,0,,,0,0,0,0
18,Cedrick Desjardins\desjace01,28,TBL,1,0,0,1,0,2,13,11,.846,6.65,0,0.0,18,0,,0,,,0,0,0,2
19,Devan Dubnyk\dubnyde01,27,TOT,34,31,11,18,3,103,945,842,.891,3.43,2,3.1,1802,11,.355,8,126,-21.57,0,0,0,6
19,Devan Dubnyk\dubnyde01,27,EDM,32,29,11,17,2,94,885,791,.894,3.36,2,3.2,1678,11,.379,7,123,-17.74,0,0,0,6
19,Devan Dubnyk\dubnyde01,27,NSH,2,2,0,1,1,9,60,51,.850,4.36,0,-0.1,124,0,.000,1,,,0,0,0,0
20,Brian Elliott\elliobr01,28,STL,31,25,18,6,2,53,681,628,.922,1.96,4,4.8,1624,15,.600,2,90,5.68,0,2,2,0
21,Dan Ellis\ellisda01,33,TOT,20,16,5,11,0,62,514,452,.879,3.62,1,1.0,1027,4,.250,6,140,-17.71,0,1,1,0
21,Dan Ellis\ellisda01,33,DAL,14,11,5,6,0,35,349,314,.900,3.04,1,1.5,690,4,.364,2,116,-4.93,0,1,1,0
21,Dan Ellis\ellisda01,33,FLA,6,5,0,5,0,27,165,138,.836,4.80,0,-0.5,337,0,.000,4,,,0,0,0,0
22,Ray Emery\emeryra01,31,PHI,28,21,9,12,2,69,711,642,.903,2.96,2,3.4,1398,11,.524,2,113,-7.74,0,0,0,31
23,Jhonas Enroth\enrotjh01,25,BUF,28,26,4,17,5,74,834,760,.911,2.82,0,4.8,1574,14,.538,3,103,-2.14,0,0,0,0
24,Joacim Eriksson\eriksjo01,23,VAN,1,0,,,,6,31,25,.806,9.99,0,-0.2,36,0,,0,,,0,0,0,0
25,Viktor Fasth\fasthvi01,31,TOT,12,12,5,5,2,33,340,307,.903,2.83,0,1.6,701,5,.417,2,113,-3.70,0,0,0,0
25,Viktor Fasth\fasthvi01,31,EDM,7,7,3,3,1,18,209,191,.914,2.73,0,1.3,396,4,.571,1,,,0,0,0,0
25,Viktor Fasth\fasthvi01,31,ANA,5,5,2,2,1,15,131,116,.885,2.95,0,0.3,305,1,.200,1,,,0,0,0,0
26,Marc-Andre Fleury\fleurma01,29,PIT,64,64,39,18,5,150,1774,1624,.915,2.37,5,11.1,3792,33,.516,11,98,2.86,0,0,0,4
27,John Gibson\gibsojo02,20,ANA,3,3,3,0,0,4,87,83,.954,1.33,1,0.9,181,3,1.000,0,,,0,0,0,0
28,Jean-Sebastien Giguere\gigueje01,36,COL,22,19,11,6,1,53,608,555,.913,2.62,2,3.6,1212,12,.632,4,101,-0.61,0,0,0,4
29,Thomas Greiss\greisth01,28,PHX,25,20,10,8,5,50,626,576,.920,2.29,2,4.3,1312,12,.600,2,93,3.94,0,0,0,0
30,Philipp Grubauer\grubaph01,22,WSH,17,14,6,5,5,35,469,434,.925,2.38,0,3.5,883,9,.643,2,87,5.41,0,0,0,0
31,Kristers Gudlevskis\gudlekr01,21,TBL,1,1,1,0,0,2,38,36,.947,2.01,0,0.4,60,1,1.000,0,,,0,0,0,0
32,Jonas Gustavsson\gustajo01,29,DET,27,26,16,5,4,68,735,667,.907,2.63,0,3.9,1551,13,.500,6,107,-4.67,0,0,0,0
33,Matt Hackett\hackema01,23,BUF,8,8,1,6,1,22,239,217,.908,3.10,0,1.3,426,4,.500,1,,,0,0,0,0
34,Jaroslav Halak\halakja01,28,TOT,52,50,29,13,7,110,1385,1275,.921,2.25,5,9.5,2939,30,.600,6,92,9.34,0,1,1,0
34,Jaroslav Halak\halakja01,28,STL,40,38,24,9,4,83,1002,919,.917,2.23,4,6.5,2238,22,.579,6,96,3.34,0,1,1,0
34,Jaroslav Halak\halakja01,28,WSH,12,12,5,4,3,27,383,356,.930,2.31,1,3.0,701,8,.667,0,82,6.00,0,0,0,0
35,Andrew Hammond\hammoan01,25,OTT,1,0,,,,0,11,11,1.000,0.00,0,0.2,35,0,,0,,,0,0,0,0
36,Josh Harding\hardijo01,29,MIN,29,26,18,7,3,46,690,644,.933,1.66,3,5.8,1668,21,.808,3,77,13.45,0,0,0,0
37,Cal Heeter\heeteca01,25,PHI,1,1,0,0,1,5,38,33,.868,4.69,0,0.0,64,0,.000,0,,,0,0,0,0
38,Magnus Hellberg\hellbma01,22,NSH,1,0,,,,1,4,3,.750,4.92,0,-0.1,12,0,,0,,,0,0,0,0
39,Jonas Hiller\hillejo01,31,ANA,50,50,29,13,7,120,1348,1228,.911,2.48,5,7.7,2909,27,.540,11,103,-3.85,0,2,2,0
40,Braden Holtby\holtbbr01,24,WSH,48,45,23,15,4,126,1475,1349,.915,2.85,4,9.0,2656,26,.578,7,99,1.10,0,2,2,7
41,Jimmy Howard\howarja02,29,DET,51,50,21,19,11,133,1482,1349,.910,2.66,2,8.3,3004,25,.500,7,104,-5.30,0,0,0,6
42,Michael Hutchinson\hutchmi01,23,WPG,3,3,2,1,0,5,88,83,.943,1.64,0,0.8,183,3,1.000,0,,,0,0,0,0
43,Carter Hutton\huttoca01,28,NSH,40,34,20,11,4,91,1006,915,.910,2.62,1,5.6,2085,15,.441,8,105,-4.32,0,1,1,2
44,Chad Johnson\johnsch02,27,BOS,27,23,17,4,3,53,708,655,.925,2.10,2,5.2,1511,15,.652,2,87,8.01,0,0,0,0
45,Martin Jones\jonesma02,24,LAK,19,18,12,6,0,33,500,467,.934,1.81,4,4.2,1095,13,.722,1,77,10.08,0,1,1,0
46,Nikolai Khabibulin\khabini01,41,CHI,4,4,1,0,1,14,74,60,.811,5.01,0,-0.5,168,1,.250,3,,,0,0,0,0
47,Anton Khudobin\khudoan01,27,CAR,36,34,19,14,1,80,1076,996,.926,2.30,1,8.0,2084,22,.647,2,86,12.72,0,0,0,0
48,Connor Knapp\knappco01,23,BUF,2,1,0,0,1,4,32,28,.875,3.14,0,0.0,77,0,.000,0,,,0,1,1,0
49,Darcy Kuemper\kuempda01,23,MIN,26,25,12,8,4,60,702,642,.915,2.43,2,4.3,1480,12,.480,4,99,0.49,0,0,0,0
50,Jason LaBarbera\labarja01,34,EDM,7,4,1,3,0,19,146,127,.870,3.27,0,0.1,348,0,.000,3,,,0,0,0,0
51,Eddie Lack\lacked01,26,VAN,41,37,16,17,5,93,1052,959,.912,2.41,4,6.1,2319,20,.541,5,103,-2.35,0,0,0,0
52,Nathan Lawson\lawsona01,30,OTT,1,0,,,,2,10,8,.800,10.11,0,-0.1,12,0,,0,,,0,0,0,0
53,Robin Lehner\lehnero01,22,OTT,36,30,12,15,6,99,1141,1042,.913,3.06,1,6.8,1942,19,.633,5,101,-0.68,0,0,0,4
54,Kari Lehtonen\lehtoka01,30,DAL,65,64,33,20,10,153,1888,1735,.919,2.41,5,12.6,3804,36,.563,10,94,9.68,0,4,4,4
55,Nathan Lieuwen\lieuwna01,22,BUF,7,5,1,4,0,18,191,173,.906,2.97,0,1.0,363,2,.400,0,,,0,0,0,0
56,Anders Lindback\lindban01,25,TBL,23,18,8,12,2,63,580,517,.891,2.90,1,1.9,1302,6,.333,3,126,-13.02,0,0,0,2
57,Henrik Lundqvist\lundqhe01,31,NYR,63,62,33,24,5,144,1810,1666,.920,2.36,5,12.4,3655,36,.581,9,92,11.96,0,4,4,0
58,Roberto Luongo\luongro01,34,TOT,56,56,25,23,7,129,1589,1460,.919,2.40,4,10.6,3222,29,.518,4,94,7.92,0,0,0,2
58,Roberto Luongo\luongro01,34,VAN,42,42,19,16,6,96,1157,1061,.917,2.38,3,7.4,2418,22,.524,4,96,3.69,0,0,0,0
58,Roberto Luongo\luongro01,34,FLA,14,14,6,7,1,33,432,399,.924,2.46,1,3.1,804,7,.500,0,89,4.22,0,0,0,2
