Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,szn
1,Sami Aittokallio\aittosa01,20,COL,1,1,0,0,0,2,25,23,0.92,2.43,0,0.2,49,1,1,0,NA,NA,0,0,0,0,12-13
2,Jake Allen\allenja01,22,STL,15,13,9,4,0,33,346,313,0.905,2.46,1,1.8,804,6,0.462,4,108,-2.53,0,0,0,0,12-13
3,Craig Anderson\andercr01,31,OTT,24,24,12,9,2,40,677,637,0.941,1.69,3,6.5,1421,17,0.708,1,67,19.63,0,0,0,0,12-13
4,Richard Bachman\bachmri01,25,DAL,13,8,6,5,0,33,288,255,0.885,3.25,0,0.9,609,4,0.5,3,130,-7.63,0,0,0,0,12-13
5,Niklas Backstrom\backsni01,34,MIN,42,41,24,15,3,98,1072,974,0.909,2.48,2,6.2,2368,18,0.439,8,104,-3.58,0,0,0,2,12-13
6,Jonathan Bernier\bernijo01,24,LAK,14,12,9,3,1,24,306,282,0.922,1.87,1,2.2,768,8,0.667,1,89,2.95,0,1,1,0,12-13
7,Martin Biron\bironma01,35,NYR,6,5,2,2,1,13,156,143,0.917,2.32,0,1,336,2,0.4,1,NA,NA,0,0,0,0,12-13
8,Ben Bishop\bishobe01,26,TOT,22,21,11,9,1,56,701,645,0.92,2.67,2,5,1260,14,0.667,3,91,5.74,0,0,0,2,12-13
8,Ben Bishop\bishobe01,26,OTT,13,12,8,5,0,31,399,368,0.922,2.45,1,3,758,8,0.667,3,88,4.14,0,0,0,0,12-13
8,Ben Bishop\bishobe01,26,TBL,9,9,3,4,1,25,302,277,0.917,2.99,1,2,502,6,0.667,0,94,1.6,0,0,0,2,12-13
9,Sergei Bobrovsky\bobrose01,24,CBJ,38,37,21,11,6,74,1084,1010,0.932,2,4,9.2,2219,26,0.703,4,78,21.48,0,0,0,0,12-13
10,Brian Boucher\bouchbr01,36,PHI,4,1,0,2,0,6,55,49,0.891,2.5,0,0.2,144,0,0,0,NA,NA,0,0,0,0,12-13
11,Martin Brodeur*\brodema01,40,NJD,29,29,13,9,7,65,654,589,0.901,2.22,2,3.1,1757,15,0.517,6,113,-7.4,1,2,3,0,12-13
12,Ilya Bryzgalov\bryzgil01,32,PHI,40,40,19,17,3,107,1066,959,0.9,2.79,1,5,2298,20,0.5,10,114,-13.11,0,3,3,0,12-13
13,Peter Budaj\budajpe01,30,MTL,13,10,8,1,1,25,273,248,0.908,2.28,1,1.6,656,6,0.6,2,104,-0.95,0,0,0,0,12-13
14,Scott Clemmensen\clemmsc01,35,FLA,19,11,3,7,2,53,421,368,0.874,3.67,0,0.7,866,3,0.273,4,143,-15.92,0,0,0,0,12-13
15,Corey Crawford\crawfco01,28,CHI,30,28,19,5,5,57,769,712,0.926,1.94,3,6,1761,19,0.679,1,84,10.73,0,0,0,4,12-13
16,Yann Danis\danisya01,31,EDM,3,0,1,0,0,7,59,52,0.881,3.81,0,0.1,110,0,NA,0,NA,NA,0,0,0,0,12-13
17,Cedrick Desjardins\desjace01,27,TBL,3,2,0,3,0,8,73,65,0.89,3,0,0.3,160,0,0,0,NA,NA,0,0,0,0,12-13
18,Rick DiPietro\dipieri01,31,NYI,3,3,0,3,0,12,83,71,0.855,4.1,0,-0.1,176,0,0,1,NA,NA,0,0,0,0,12-13
19,Devan Dubnyk\dubnyde01,26,EDM,38,37,14,16,6,90,1132,1042,0.92,2.57,2,8.1,2101,20,0.541,5,90,9.7,0,0,0,0,12-13
20,Brian Elliott\elliobr01,27,STL,24,20,14,8,1,49,526,477,0.907,2.28,3,2.9,1292,12,0.6,6,106,-2.67,0,0,0,0,12-13
21,Dan Ellis\ellisda01,32,CAR,19,16,6,8,2,52,555,503,0.906,3.13,1,3,997,8,0.5,4,106,-3.12,0,2,2,0,12-13
22,Ray Emery\emeryra01,30,CHI,21,19,17,1,0,36,460,424,0.922,1.94,3,3.4,1116,12,0.632,1,89,4.52,0,0,0,0,12-13
23,Jhonas Enroth\enrotjh01,24,BUF,12,9,4,4,1,27,332,305,0.919,2.6,1,2.3,623,7,0.778,1,92,2.24,0,0,0,0,12-13
24,Viktor Fasth\fasthvi01,30,ANA,25,23,15,6,2,52,661,609,0.921,2.18,4,4.8,1428,14,0.609,3,89,6.22,0,0,0,0,12-13
25,Marc-Andre Fleury\fleurma01,28,PIT,33,31,23,8,0,74,881,807,0.916,2.39,1,5.9,1858,15,0.484,5,95,3.6,0,2,2,2,12-13
26,Jeff Frazee\frazeje01,25,NJD,1,0,0,0,0,0,3,3,1,0,0,0.1,19,0,NA,0,NA,NA,0,0,0,0,12-13
27,Mathieu Garon\garonma01,35,TBL,18,16,5,9,2,44,427,383,0.897,2.9,0,1.9,910,6,0.375,4,117,-6.39,0,0,0,0,12-13
28,Jean-Sebastien Giguere\gigueje01,35,COL,18,14,5,4,4,43,469,426,0.908,2.84,0,2.7,908,4,0.286,1,104,-1.69,0,0,0,4,12-13
29,Thomas Greiss\greisth01,27,SJS,6,5,1,4,0,13,153,140,0.915,2.53,1,1,308,3,0.6,1,NA,NA,0,0,0,0,12-13
30,Philipp Grubauer\grubaph01,21,WSH,2,1,0,1,0,5,59,54,0.915,3.57,0,0.4,84,0,0,0,NA,NA,0,0,0,0,12-13
31,Jonas Gustavsson\gustajo01,28,DET,7,4,2,2,1,17,140,123,0.879,2.92,0,0.3,349,2,0.5,1,NA,NA,0,1,1,2,12-13
32,Matt Hackett\hackema01,22,MIN,1,1,0,1,0,5,33,28,0.848,5.07,0,0,59,0,0,1,NA,NA,0,0,0,0,12-13
33,Jaroslav Halak\halakja01,27,STL,16,15,6,5,1,29,286,257,0.899,2.14,3,1.3,813,7,0.467,4,115,-3.81,0,1,1,0,12-13
34,Josh Harding\hardijo01,28,MIN,5,3,1,1,0,10,73,63,0.863,3.24,1,0,185,1,0.333,2,NA,NA,0,0,0,0,12-13
35,Johan Hedberg\hedbejo01,39,NJD,19,19,6,10,3,51,435,384,0.883,2.76,1,1.2,1108,9,0.474,6,133,-12.69,0,1,1,4,12-13
36,Jonas Hiller\hillejo01,30,ANA,26,25,15,6,4,59,675,616,0.913,2.36,1,4.2,1498,14,0.56,2,99,0.45,0,1,1,2,12-13
37,Braden Holtby\holtbbr01,23,WSH,36,35,23,12,1,90,1123,1033,0.92,2.58,4,8,2089,20,0.571,5,91,8.91,0,2,2,2,12-13
38,Jimmy Howard\howarja02,28,DET,42,42,21,13,7,87,1129,1042,0.923,2.13,5,8.4,2446,26,0.619,7,87,12.44,0,1,1,0,12-13
39,Carter Hutton\huttoca01,27,CHI,1,1,0,1,0,3,28,25,0.893,3.06,0,0.1,59,0,0,0,NA,NA,0,0,0,0,12-13
40,Leland Irving\irvinle01,24,CGY,6,5,2,1,1,15,128,113,0.883,3.33,0,0.3,270,1,0.2,2,NA,NA,0,1,1,0,12-13
41,Chad Johnson\johnsch02,26,PHX,4,4,2,0,2,5,108,103,0.954,1.22,1,1.2,247,3,0.75,0,NA,NA,0,0,0,0,12-13
42,Nikolai Khabibulin\khabini01,40,EDM,12,11,4,6,1,29,376,347,0.923,2.55,1,2.8,684,6,0.545,1,88,4.12,0,0,0,0,12-13
43,Anton Khudobin\khudoan01,26,BOS,14,14,9,4,1,31,388,357,0.92,2.32,1,2.8,803,8,0.571,3,91,3.17,0,0,0,4,12-13
44,Keith Kinkaid\kinkake01,23,NJD,1,0,0,0,0,1,13,12,0.923,2.33,0,0.1,26,0,NA,0,NA,NA,0,0,0,0,12-13
45,Miikka Kiprusoff\kiprumi01,36,CGY,24,24,8,14,2,77,650,573,0.882,3.44,0,1.6,1344,10,0.417,9,134,-19.75,0,1,1,0,12-13
46,Darcy Kuemper\kuempda01,22,MIN,6,3,1,2,0,10,119,109,0.916,2.08,0,0.8,288,2,0.667,0,NA,NA,0,0,0,0,12-13
47,Jason LaBarbera\labarja01,33,PHX,15,10,4,6,2,32,418,386,0.923,2.64,0,3.1,726,5,0.5,0,87,4.82,0,0,0,0,12-13
48,Robin Lehner\lehnero01,21,OTT,12,12,5,3,4,27,424,397,0.936,2.2,0,3.8,735,10,0.833,0,72,10.34,0,0,0,0,12-13
49,Kari Lehtonen\lehtoka01,29,DAL,36,35,15,14,3,88,1050,962,0.916,2.66,1,7,1986,21,0.6,5,95,4.48,0,2,2,0,12-13
50,Michael Leighton\leighmi01,31,PHI,1,1,0,1,0,5,26,21,0.808,5.07,0,-0.2,59,0,0,1,NA,NA,0,0,0,0,12-13
51,Anders Lindback\lindban01,24,TBL,24,21,10,10,1,63,642,579,0.902,2.9,0,3.2,1304,11,0.524,3,111,-6.45,0,1,1,0,12-13
52,Henrik Lundqvist\lundqhe01,30,NYR,43,43,24,16,3,88,1190,1102,0.926,2.05,2,9.3,2575,29,0.674,1,84,16.81,0,1,1,0,12-13
53,Roberto Luongo\luongro01,33,VAN,20,18,9,6,3,51,551,500,0.907,2.56,2,3.1,1197,11,0.611,3,105,-2.47,0,0,0,0,12-13
54,Joey MacDonald\macdojo01,32,CGY,21,17,8,9,1,55,562,507,0.902,2.87,0,2.8,1148,7,0.412,3,111,-5.5,0,0,0,0,12-13
55,Jacob Markstrom\marksja02,23,FLA,23,23,8,14,1,68,685,617,0.901,3.22,0,3.3,1266,9,0.391,6,113,-7.67,0,0,0,0,12-13
56,Chris Mason\masonch02,36,NSH,11,6,1,7,1,29,229,200,0.873,3.73,0,0.4,467,3,0.5,2,144,-8.83,0,0,0,0,12-13
57,Steve Mason\masonst01,24,TOT,20,17,7,8,1,47,561,514,0.916,2.59,0,3.7,1090,7,0.412,1,95,2.41,0,1,1,0,12-13
57,Steve Mason\masonst01,24,CBJ,13,11,3,6,1,35,346,311,0.899,2.95,0,1.6,712,3,0.273,1,115,-4.53,0,0,0,0,12-13
57,Steve Mason\masonst01,24,PHI,7,6,4,2,0,12,215,203,0.944,1.9,0,2.2,378,4,0.667,0,63,6.94,0,1,1,0,12-13
58,Ryan Miller\millery01,32,BUF,40,39,17,17,5,108,1270,1162,0.915,2.81,0,8.3,2302,21,0.538,4,97,3.86,0,0,0,2,12-13
59,Al Montoya\montoal01,27,WPG,7,5,3,1,0,17,168,151,0.899,2.9,1,0.8,351,2,0.4,2,NA,NA,0,0,0,0,12-13
60,Petr Mrazek\mrazepe01,20,DET,2,2,1,1,0,4,51,47,0.922,2.01,0,0.4,119,1,0.5,0,NA,NA,0,0,0,0,12-13
61,Evgeni Nabokov\nabokev01,37,NYI,41,41,23,11,7,103,1139,1036,0.91,2.5,3,6.7,2475,20,0.488,5,103,-2.68,0,4,4,6,12-13
62,Michal Neuvirth\neuvimi01,24,WSH,13,12,4,5,2,33,367,334,0.91,2.74,0,2.2,723,7,0.583,2,102,-0.68,0,0,0,0,12-13
63,Antti Niemi\niemian02,29,SJS,43,43,24,12,6,93,1220,1127,0.924,2.16,4,9.2,2581,29,0.674,3,87,14.45,0,1,1,2,12-13
64,Cristopher Nilstorp\nihlsch01,28,DAL,5,5,1,3,1,15,146,131,0.897,3.09,0,0.6,291,2,0.4,2,NA,NA,0,0,0,0,12-13
65,Ondrej Pavelec\pavelon01,25,WPG,44,43,21,20,3,119,1251,1132,0.905,2.8,0,6.6,2553,19,0.442,8,108,-8.82,0,0,0,2,12-13
66,Justin Peters\peterju01,26,CAR,19,16,4,11,1,55,506,451,0.891,3.46,1,1.9,954,6,0.375,3,123,-10.43,0,0,0,0,12-13
67,Kevin Poulin\poulike01,22,NYI,5,4,1,3,0,13,122,109,0.893,3.03,0,0.5,258,2,0.5,1,NA,NA,0,0,0,0,12-13
68,Carey Price\priceca01,25,MTL,39,38,21,13,4,97,1018,921,0.905,2.59,3,5.4,2249,21,0.553,8,108,-7.34,0,0,0,0,12-13
69,Jonathan Quick\quickjo01,27,LAK,37,36,18,13,4,87,889,802,0.902,2.45,1,4.4,2134,20,0.556,9,111,-8.7,0,0,0,2,12-13
70,Tuukka Rask\rasktu01,25,BOS,36,34,19,10,5,70,980,910,0.929,2,5,8,2104,25,0.735,4,81,16.32,0,1,1,0,12-13
71,James Reimer\reimeja01,24,TOR,33,31,19,8,5,76,995,919,0.924,2.46,4,7.5,1856,17,0.548,2,87,11.64,0,1,1,0,12-13
72,Pekka Rinne\rinnepe01,30,NSH,43,42,15,16,8,99,1101,1002,0.91,2.43,5,6.5,2444,22,0.524,10,102,-2.03,0,1,1,8,12-13
73,Jussi Rynnas\rynnaju01,25,TOR,1,0,0,0,0,0,6,6,1,0,0,0.1,10,0,NA,0,NA,NA,0,0,0,0,12-13
74,Cory Schneider\schneco01,26,VAN,30,30,17,9,4,61,835,774,0.927,2.11,5,6.6,1733,21,0.7,4,83,12.54,0,1,1,0,12-13
75,Ben Scrivens\scrivbe01,26,TOR,20,17,7,9,0,46,542,496,0.915,2.69,2,3.5,1025,10,0.588,3,96,1.74,0,0,0,6,12-13
76,Mike Smith\smithmi01,30,PHX,34,34,15,12,5,84,938,854,0.91,2.58,5,5.6,1956,17,0.5,7,102,-1.38,0,0,0,0,12-13
77,Alex Stalock\staloal01,25,SJS,2,0,0,0,1,2,13,11,0.846,2.87,0,0,42,0,NA,0,NA,NA,0,0,0,0,12-13
78,Daniel Taylor\tayloda02,26,CGY,2,2,1,1,0,6,68,62,0.912,3,0,0.4,120,1,0.5,0,NA,NA,0,0,0,0,12-13
79,Jose Theodore\theodjo01,36,FLA,15,14,4,6,3,42,391,349,0.893,3.29,0,1.5,766,5,0.357,5,122,-7.56,0,0,0,2,12-13
80,Semyon Varlamov\varlasi01,24,COL,35,33,11,21,3,98,1007,909,0.903,3.02,3,5.1,1950,12,0.364,7,110,-9.31,0,1,1,0,12-13
81,Tomas Vokoun\vokouto01,36,PIT,20,17,13,4,0,42,519,477,0.919,2.45,3,3.6,1029,9,0.529,5,92,3.71,0,2,2,2,12-13
82,Cam Ward\wardca01,28,CAR,17,16,9,6,1,44,477,433,0.908,2.84,0,2.7,929,8,0.5,3,105,-1.99,0,0,0,0,12-13
1,Sami Aittokallio\aittosa01,21,COL,1,1,0,1,0,3,18,15,0.833,4.5,0,-0.1,40,0,0,1,NA,NA,0,0,0,0,13-14
2,Frederik Andersen\anderfr01,24,ANA,28,24,20,5,0,60,783,723,0.923,2.29,0,5.6,1569,12,0.5,0,89,7.47,0,1,1,0,13-14
3,Craig Anderson\andercr01,32,OTT,53,52,25,16,8,150,1680,1530,0.911,3,4,9.5,3000,26,0.5,10,104,-5.24,0,1,1,2,13-14
4,Richard Bachman\bachmri01,26,EDM,3,3,0,2,1,7,83,76,0.916,3.03,0,0.5,139,1,0.333,2,NA,NA,0,0,0,0,13-14
5,Niklas Backstrom\backsni01,35,MIN,21,19,5,11,2,55,546,491,0.899,3.02,0,2.3,1094,9,0.474,3,117,-7.95,0,0,0,0,13-14
6,Jonathan Bernier\bernijo01,25,TOR,55,49,26,19,7,139,1788,1649,0.922,2.7,1,12.6,3084,30,0.612,5,90,15.07,0,1,1,4,13-14
7,Reto Berra\berrare01,27,TOT,31,29,9,18,3,88,820,732,0.893,3.07,0,2.9,1720,14,0.483,7,125,-17.34,0,0,0,2,13-14
7,Reto Berra\berrare01,27,CGY,29,27,9,17,2,81,788,707,0.897,2.95,0,3.2,1648,14,0.519,5,119,-13.1,0,0,0,2,13-14
7,Reto Berra\berrare01,27,COL,2,2,0,1,1,7,32,25,0.781,5.85,0,-0.3,72,0,0,2,NA,NA,0,0,0,0,13-14
8,Martin Biron\bironma01,36,NYR,2,1,0,1,0,9,38,29,0.763,7.65,0,-0.5,71,0,0,1,NA,NA,0,0,0,0,13-14
9,Ben Bishop\bishobe01,27,TBL,63,63,37,14,7,133,1758,1625,0.924,2.23,5,12.9,3586,38,0.603,8,88,18.48,0,2,2,4,13-14
10,Sergei Bobrovsky\bobrose01,25,CBJ,58,57,32,20,5,131,1699,1568,0.923,2.38,5,12.1,3299,35,0.614,5,89,15.4,0,1,1,2,13-14
11,Martin Brodeur*\brodema01,41,NJD,39,39,19,14,6,96,971,875,0.901,2.51,3,4.4,2297,18,0.462,8,115,-12.33,0,3,3,2,13-14
12,Ilya Bryzgalov\bryzgil01,33,TOT,32,30,12,9,8,81,891,810,0.909,2.68,4,4.9,1814,16,0.533,4,106,-4.23,0,0,0,0,13-14
12,Ilya Bryzgalov\bryzgil01,33,EDM,20,19,5,8,5,57,622,565,0.908,3.01,1,3.4,1135,10,0.526,2,106,-3.4,0,0,0,0,13-14
12,Ilya Bryzgalov\bryzgil01,33,MIN,12,11,7,1,3,24,269,245,0.911,2.12,3,1.5,679,6,0.545,2,NA,NA,0,0,0,0,13-14
13,Peter Budaj\budajpe01,31,MTL,24,21,10,8,3,56,615,559,0.909,2.51,1,3.4,1338,9,0.429,3,106,-3.01,0,0,0,6,13-14
14,Jack Campbell\campbja01,22,DAL,1,1,0,1,0,6,47,41,0.872,6,0,0,60,0,0,0,NA,NA,0,0,0,0,13-14
