,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
73,Justin Peters\peterju01,30,ARI,3,1,0,1,0,7,70,63,.900,3.16,0,0.3,133,0,.000,0,,,0,0,0,0
74,Calvin Pickard\pickaca01,24,COL,50,48,15,31,2,140,1461,1321,.904,2.98,2,7.1,2820,21,.438,11,111,-13.56,0,2,2,2
75,Carey Price\priceca01,29,MTL,62,62,37,20,5,138,1794,1656,.923,2.23,3,12.6,3708,38,.613,8,89,17.25,0,1,1,4
76,Jonathan Quick\quickjo01,31,LAK,17,17,8,5,2,35,421,386,.917,2.26,2,2.7,931,11,.647,2,96,1.43,0,0,0,2
77,Antti Raanta\raantan01,27,NYR,30,26,16,8,2,61,782,721,.922,2.26,4,5.4,1617,18,.692,1,90,6.67,0,1,1,0
78,Tuukka Rask\rasktu01,29,BOS,65,63,37,20,5,137,1610,1473,.915,2.23,8,9.8,3680,31,.492,14,98,2.33,0,2,2,0
79,James Reimer\reimeja01,28,FLA,43,39,18,16,5,98,1222,1124,.920,2.53,3,8.1,2325,19,.487,4,93,7.75,0,0,0,2
80,Pekka Rinne\rinnepe01,34,NSH,61,61,31,19,9,144,1757,1613,.918,2.42,3,11.3,3568,34,.557,7,95,8.05,0,0,0,4
81,David Rittich\rittida01,24,CGY,1,0,0,0,0,1,10,9,.900,3.00,0,0.0,20,0,,0,,,0,0,0,0
82,Juuse Saros\sarosju01,21,NSH,21,19,10,8,3,47,614,567,.923,2.35,1,4.4,1200,13,.684,1,88,6.14,0,1,1,0
83,Cory Schneider\schneco01,30,NJD,60,59,20,27,11,163,1781,1618,.908,2.82,2,9.5,3473,27,.458,7,106,-8.87,0,0,0,0
84,Jeremy Smith\smithje02,27,COL,10,8,1,6,1,32,286,254,.888,3.54,0,0.8,543,3,.375,3,,,0,0,0,0
85,Mike Smith\smithmi01,34,ARI,55,55,19,26,9,156,1819,1663,.914,2.92,3,10.9,3202,27,.491,7,99,1.42,0,0,0,14
86,Alex Stalock\staloal01,29,MIN,2,2,1,1,0,3,54,51,.944,1.51,0,0.5,119,2,1.000,0,,,0,0,0,0
87,Anthony Stolarz\stolaan01,23,PHI,7,4,2,1,1,13,181,168,.928,2.07,1,1.4,376,2,.500,1,,,0,0,0,0
88,Malcolm Subban\subbama01,23,BOS,1,1,0,1,0,3,16,13,.813,5.88,0,-0.1,31,0,.000,1,,,0,0,0,0
89,Cam Talbot\talboca01,29,EDM,73,73,42,22,8,171,2117,1946,.919,2.39,7,14.0,4294,43,.589,10,93,12.21,0,0,0,4
90,Dustin Tokarski\tokardu01,27,ANA,1,0,0,0,0,0,5,5,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0
91,Linus Ullmark\ullmali01,23,BUF,1,1,0,1,0,3,36,33,.917,3.06,0,0.2,59,1,1.000,0,,,0,0,0,0
92,Semyon Varlamov\varlasi01,28,COL,24,23,6,17,0,76,745,669,.898,3.38,1,3.1,1348,11,.478,5,118,-11.53,0,1,1,0
93,Andrei Vasilevskiy\vasilan02,22,TBL,50,47,23,17,7,123,1480,1357,.917,2.61,2,9.3,2831,25,.532,5,96,5.08,0,2,2,2
94,Cam Ward\wardca01,32,CAR,61,61,26,22,12,162,1711,1549,.905,2.69,2,8.5,3618,30,.492,9,109,-13.93,0,1,1,6
95,Jeff Zatkoff\zatkoje01,29,LAK,13,8,2,7,1,27,223,196,.879,2.94,0,0.4,550,2,.250,4,,,0,0,0,0
